Date,Time,19EC064,19EC066,"19EC067 ",19EC068,19EC070,19EC071,19EC072,19EC073,19EC074,19EC077,19EC078,19EC082,19EC083,19EC084,19EC087,19EC088,19EC090,19EC091,19EC092,"19EC093 ",19EC094,19EC095,19EC096,19EC097,19EC098,19EC099,19EC100,19EC101,19EC103,19EC104,19EC105,19EC107,19EC110,19EC111,19EC112,19EC113,19EC114,19EC116,19EC117,19EC123,19EC124,19EC125,19EC501,19EC505,19EC508,19EC509,19EC510,
11.12.2022,13:01:06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.12.2022,18:33:36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.12.2022,10:23:13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.12.2022,10:23:52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.12.2022,16:00:41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
